Name	Set	ImageFile	Cost	ReqRunes	CardType	Power	Flash	Ability	Ability2	Text	Text2
Filip, Valiant Researcher	Set1	b01.png	1	U	Unit	1000				Play: Research 1	
Filip, the Solution	Set1	b02.png	4	UU	Unit	2500				Play: Research 4.  Draw 1	Removed: Ready 2 Runes
Mal, the Devoted	Set1	b03.png	2	U	Unit	2000				Removed: Bounce target Unit cost 2 or less.	
Raine, Tactician	Set1	b04.png	2	UU	Unit	1500		Critical		Constant: When you play and Event, this Unit gains 1000 power.	
Ramus, Master of Arms	Set1	b05.png	6	UUU	Unit	5500	Y			Play: Exhaust 2.  If it's your turn, the chosen Units cannot ready during your opponent's next start-up	Constant: At the end of your turn ready 1 rune.
Deception	Set1	b06.png	1	U	Event		Y			Counter: Unit cost 2 or less unless its owner pays 1.	
Calculation	Set1	b07.png	1	U	Event		Y			Research 1.  Draw 1	
Dig Through the Archives	Set1	b08.png	2	UU	Event		Y			Research 2.  Target player Mills 2.  You may drop 1 to Draw 1.	
The Way of the Intellects	Set1	b09.png	3	UU	Event		Y			Counter: Event of Main.	
Last Ditch Effort	Set1	b10.png	4	UU	Event		Y			Exhaust 2.	
Dean, Architect of the Future	Set1	b11.png	1	U	Legendary Unit	1000		Mastery		When this card breaks a Rune, Rummage 5 for an Event.	
Zak, Shifting the Balance	Set1	b12.png	3	UU	Legendary Unit	2500	Y	Mastery		Removed: Exhaust 1.	
Dean, Stroke of Genius	Set1	b13.png	4	UU	Legendary Unit	3000		Critical		Play: Restore an Event cost 2 or less.  At the end of the turn ready 2 Runes.	
Zak, Turning the Tide	Set1	b14.png	5	UUU	Legendary Unit	5000	Y	Mastery	Critical	Play: Exhaust 1 and place target exhausted Unit on top or bottom of its owner's archive.  Then, choose target Event in your discard pile and you may play it without paying its cost.	
Ancient Rune of the Intellects	Set1	b15.png			Ancient Rune					Main(3): if you control 2 or less Intellects, bounce target main cost 2 or less.	
Ancient Rune of the Intellects	Set1	b16.png			Ancient Rune					Main(3): Drop an Event card to draw 2.	
Ancient Rune of the Intellects	Set1	b17.png			Ancient Rune					Main(2): Restore target event cost 1.	
Intellectual Rune	Set1	b18.png			Rune						
Abrupt End	Set1	p01.png	1	P	Event		Y			Target Unit gets -1000.	
Wisp, Valiant Mystic	Set1	p02.png	1	P	Unit	1000		Reaper			
Zapp, Beyond the Grave	Set1	p03.png	3	PP	Unit	3000		Reaper	Critical	Main: Destroy a 1 cost Unit that you control.  If you do, all players drop 1.	
Mystic Looting	Set1	p04.png	2	PP	Event					Target player reveals their hand.  Choose a card from their hand cost 3 or less, that player drops it.	
Dreg, Aether Specialist	Set1	p05.png	4	PP	Unit	2500				Play: Target Unit cannot attack next turn.	Removed: Revive a 1 cost Unit.
Victor, the Infiltrator	Set1	p06.png	4	PPP	Unit	3000				Play: Target player reveals their hand.  Choose 1 card and target player drops it and draws 1.	
From the Beyond	Set1	p07.png	1	P	Event					Revive a 1 cost Unit.	
Unnatural Summoning	Set1	p08.png	4	PPP	Event					Revive any number of Mystic Units that add up to a total cost of 3.	
Vera, Mystic Warrior	Set1	p09.png	2	P	Unit	1500		Critical		Constant: When a Unit loses power from one of your effects, this card gains 1000.	
Van, One with the Aether	Set1	p10.png	2	P	Legendary Unit	2000				Once Per Turn: When a Unit loses power from one of your effects, target Unit gets -1000	
Veida, Harnessing Darkness	Set1	p11.png	5	PPP	Legendary Unit	4000		Reaper		Play: All other Units get -1000 until end of turn.  Then when another Unit is destroyed this turn, all other Units get -1000 until end of turn.	
Shad, Mystic Defender	Set1	p12.png	1	P	Unit	1000				Play: Search your archive for a copy of this card and add it to your hand.	
Veida, the Unnatural	Set1	p13.png	3	PP	Legendary Unit	2000		Reaper		Play: Target Unit gets -1000.  Then, destroy target Unit with 3000 power or less.	
Van, Technique Mastered	Set1	p14.png	6	PPP	Legendary Unit	4500		Reaper		Play: Destroy target Unit.	Combat: Revive target Unit.  It may attack this turn.  At the end of the turn, destroy target Unit your control.
Mystic Rune	Set1	p15.png			Rune						
Ancient Mystic Rune	Set1	p16.png			Ancient Rune					Main(3): You may mill 3.  Then, Restore target Unit cost 2 or less.	
